variant,sensing,noise_pct,seed,epochs,train_time_s,test_cv_rmse,test_nmbe,test_r2,test_mae_kW,test_n,train_cv_rmse,train_nmbe,train_r2,train_mae_kW,train_n,err_C_z,err_C_w,err_R_zw,err_R_wo,err_R_inf,rec_C_z,rec_C_w,rec_R_zw,rec_R_wo,rec_R_inf,rec_R_s,err_R_s,err_G_s,err_G_inf
V5_wrong_constraints,S3,5,1,600,2.8,299.0844,200.8036,-23.4043,135.6569,429,351.1125,265.9113,-39.924,193.643,1711,60.0,60.0,226.92,226.92,93.43,14000000.0,320000000.0,0.0014711478725075,0.0091538168489933,2.2993877792032436e-05,0.010624964721500799,226.92199143079384,69.41166314253012,1422.144299302477
V1_blackbox,S3,10,1,600,2.0,16.6192,9.6015,0.9275,8.3024,429,12.1738,0.0153,0.952,6.1129,1711,,,,,,,,,,,,,,
V2_soft_physics,S3,10,1,600,2.8,14.1583,2.7376,0.9474,6.1762,429,11.9731,0.0955,0.9535,5.9181,1711,,,,,,,,,,,,,,
V3_hard_arch,S3,10,1,600,2.1,33.2162,-20.6237,0.7104,17.7751,429,31.0477,-12.7292,0.6876,18.5715,1711,60.0,60.0,46.48,46.48,48.34,56000000.0,320000000.0,0.0006591656128875,0.0041014710441231,0.0001808080414775,0.0047606366570106,46.481127908018465,31.731820045245605,93.57546110224
V4_neural_forcing,S3,10,1,600,4.4,14.7954,5.3811,0.9425,6.862,429,12.492,-0.6961,0.9494,6.1557,1711,0.0,0.0,146.45,140.69,125.44,35000000.0,200000000.0,0.0011090399930253,0.0067392918281257,0.0007890292908996,0.007848331821151,141.4871329584923,58.589926189902485,55.64169745828412
V4F_fixed_Qint,S3,10,1,600,2.3,25.1212,-13.3099,0.8344,13.4246,429,22.5371,-10.2432,0.8354,13.6059,1711,0.0,0.0,150.12,108.66,33.36,35000000.0,200000000.0,0.0011255608405917,0.0058424826711416,0.000233234008192,0.0069680435117333,114.40133882256309,53.358500208452874,50.063879068560766
V5_wrong_constraints,S3,10,1,600,2.8,297.0758,199.4331,-22.1637,135.2095,429,351.9151,266.3168,-39.1312,193.7485,1711,60.0,60.0,226.92,226.92,93.43,14000000.0,320000000.0,0.0014711556723341,0.0091538652777671,2.2993872335064225e-05,0.0106250209501012,226.92372154157542,69.41182501885753,1422.1446605418948
V1_blackbox,S1,0,2,600,2.0,8.7756,5.9275,0.9789,4.543,429,5.5274,-0.0048,0.9897,2.7029,1711,,,,,,,,,,,,,,
V2_soft_physics,S1,0,2,600,2.8,5.3079,1.6809,0.9923,2.4913,429,5.2716,0.0977,0.9906,2.5279,1711,,,,,,,,,,,,,,
V3_hard_arch,S1,0,2,600,2.2,31.1183,-20.5256,0.7344,16.7537,429,28.9475,-12.7337,0.7172,17.1115,1711,60.0,60.0,46.1,46.1,48.19,56000000.0,320000000.0,0.0006574392318725,0.0040907324291765,0.0001813270791899,0.004748171661048999,46.09758957073844,31.552601043029956,93.02136314314774
V4_neural_forcing,S1,0,2,600,3.2,7.5048,4.924,0.9846,3.8075,429,5.9714,-0.6711,0.988,2.8885,1711,0.0,0.0,145.18,139.55,128.51,35000000.0,200000000.0,0.001103316899389,0.0067074289545416,0.0007998016080819,0.0078107458539306,140.33064165940308,58.39065742531485,56.23914775073072
V4F_fixed_Qint,S1,0,2,600,2.3,22.0334,-13.1924,0.8669,11.626,429,19.6114,-10.2463,0.8702,11.9567,1711,0.0,0.0,149.54,107.96,33.12,35000000.0,200000000.0,0.0011229191441088,0.005822904407978,0.0002340806095162,0.0069458235520868,113.71764775651694,53.2092922368641,49.521141765387256
V5_wrong_constraints,S1,0,2,600,2.8,298.0367,200.0835,-23.3621,135.602,429,352.2457,266.71,-40.8704,193.828,1711,60.0,60.0,226.9,226.9,93.43,14000000.0,320000000.0,0.0014710307586938,0.0091530894860625,2.2992759113549255e-05,0.010624120244756301,226.89600753096312,69.40923177517604,1422.218356968524
V1_blackbox,S1,5,2,600,2.0,11.0106,7.5397,0.9668,5.6432,429,7.9963,0.0093,0.9785,4.0127,1711,,,,,,,,,,,,,,
V2_soft_physics,S1,5,2,600,7.0,7.3949,1.8932,0.985,3.3446,429,7.758,0.0801,0.9797,3.8072,1711,,,,,,,,,,,,,,
V3_hard_arch,S1,5,2,600,2.2,31.7626,-20.9344,0.7233,17.238,429,29.6209,-12.8378,0.7047,17.583,1711,60.0,60.0,47.53,47.53,47.93,56000000.0,320000000.0,0.0006638901541009,0.0041308677755296,0.0001822411140892,0.0047947579296304995,47.531013219399995,32.217641689150796,92.05325963310807
V4_neural_forcing,S1,5,2,600,3.2,9.2026,5.0944,0.9768,4.502,429,8.2838,-0.634,0.9769,4.0628,1711,0.0,0.0,146.78,141.77,129.76,35000000.0,200000000.0,0.0011105013545602,0.0067695453763008,0.0008041691035032,0.007880046730861,142.46297633418465,58.75658976396838,56.47681582452052
V4F_fixed_Qint,S1,5,2,600,2.3,22.7149,-13.6036,0.8585,12.078,429,20.5903,-10.3498,0.8573,12.4427,1711,0.0,0.0,152.06,110.53,32.63,35000000.0,200000000.0,0.001134282327257,0.005894863512367,0.0002357840421609,0.007029145839623999,116.28141044996923,53.76394125045145,48.44091940758168
V5_wrong_constraints,S1,5,2,600,2.8,297.5625,199.5897,-23.2815,135.5116,429,353.6354,267.6477,-41.0877,194.0149,1711,60.0,60.0,226.9,226.9,93.43,14000000.0,320000000.0,0.0014710311079397,0.0091530922800302,2.299275729455985e-05,0.0106241233879699,226.89610424522772,69.40924082564686,1422.2184773933614
V1_blackbox,S1,10,2,600,2.0,15.2259,8.2737,0.9387,7.2709,429,12.4798,0.0277,0.9497,6.1385,1711,,,,,,,,,,,,,,
V2_soft_physics,S1,10,2,600,2.8,12.5177,0.1926,0.9586,5.299,429,12.2035,0.1086,0.9519,5.923,1711,,,,,,,,,,,,,,
V3_hard_arch,S1,10,2,600,2.2,32.7948,-20.6403,0.7157,17.6416,429,31.0698,-12.6805,0.6882,18.5398,1711,60.0,60.0,46.6,46.6,48.33,56000000.0,320000000.0,0.0006596880848519,0.004104723688215,0.0001808550441637,0.0047644117730669,46.597285325135395,31.785912830369355,93.52515248797778
V4_neural_forcing,S1,10,2,600,3.2,13.5246,4.9869,0.9516,6.2506,429,12.8616,-0.6629,0.9466,6.2078,1711,0.0,0.0,146.7,141.52,128.21,35000000.0,200000000.0,0.0011101599084213,0.006762571632862,0.0007987470598891,0.0078727315412833,142.23789357794772,58.71826718645824,56.18137235477339
V4F_fixed_Qint,S1,10,2,600,2.3,24.6103,-13.3237,0.8399,13.226,429,22.6548,-10.1898,0.8342,13.7131,1711,0.0,0.0,150.31,108.9,33.34,35000000.0,200000000.0,0.0011263826163485,0.0058490680530667,0.0002332993899472,0.0069754506694152,114.62925136662155,53.40802832639815,50.02182392299076
V5_wrong_constraints,S1,10,2,600,2.8,297.1953,199.4411,-22.3493,135.5305,429,352.2315,266.6113,-39.0772,193.7514,1711,60.0,60.0,226.9,226.9,93.43,14000000.0,320000000.0,0.0014710357645526,0.0091531202197074,2.299276093253866e-05,0.01062415598426,226.89710720800002,69.40933468206819,1422.2182365437054
V1_blackbox,S2,0,2,600,2.0,8.7756,5.9275,0.9789,4.543,429,5.5274,-0.0048,0.9897,2.7029,1711,,,,,,,,,,,,,,
V2_soft_physics,S2,0,2,600,2.8,5.3079,1.6809,0.9923,2.4913,429,5.2716,0.0977,0.9906,2.5279,1711,,,,,,,,,,,,,,
V3_hard_arch,S2,0,2,600,2.1,31.1183,-20.5256,0.7344,16.7537,429,28.9475,-12.7337,0.7172,17.1115,1711,60.0,60.0,46.1,46.1,48.19,56000000.0,320000000.0,0.0006574392318725,0.0040907324291765,0.0001813270791899,0.004748171661048999,46.09758957073844,31.552601043029956,93.02136314314774
V4_neural_forcing,S2,0,2,600,4.4,7.5116,4.9272,0.9845,3.8127,429,5.9709,-0.6609,0.988,2.8877,1711,0.0,0.0,145.24,139.64,128.58,35000000.0,200000000.0,0.0011035653296858,0.0067097973078489,0.0008000206435099,0.0078133626375347,140.4111580779908,58.40459286521159,56.25112891281676
V4F_fixed_Qint,S2,0,2,600,2.4,22.0334,-13.1924,0.8669,11.626,429,19.6114,-10.2463,0.8702,11.9567,1711,0.0,0.0,149.54,107.96,33.12,35000000.0,200000000.0,0.0011229191441088,0.005822904407978,0.0002340806095162,0.0069458235520868,113.71764775651694,53.2092922368641,49.521141765387256
V5_wrong_constraints,S2,0,2,600,2.8,298.0367,200.0835,-23.3621,135.602,429,352.2457,266.71,-40.8704,193.828,1711,60.0,60.0,226.9,226.9,93.43,14000000.0,320000000.0,0.0014710307586938,0.0091530894860625,2.2992759113549255e-05,0.010624120244756301,226.89600753096312,69.40923177517604,1422.218356968524
V1_blackbox,S2,5,2,600,2.0,11.0106,7.5397,0.9668,5.6432,429,7.9963,0.0093,0.9785,4.0127,1711,,,,,,,,,,,,,,
V2_soft_physics,S2,5,2,600,2.8,7.3949,1.8932,0.985,3.3446,429,7.758,0.0801,0.9797,3.8072,1711,,,,,,,,,,,,,,
V3_hard_arch,S2,5,2,600,2.2,31.7626,-20.9344,0.7233,17.238,429,29.6209,-12.8378,0.7047,17.583,1711,60.0,60.0,47.53,47.53,47.93,56000000.0,320000000.0,0.0006638901541009,0.0041308677755296,0.0001822411140892,0.0047947579296304995,47.531013219399995,32.217641689150796,92.05325963310807
V4_neural_forcing,S2,5,2,600,4.4,9.1993,5.0934,0.9768,4.5027,429,8.2826,-0.6284,0.9769,4.0619,1711,0.0,0.0,146.84,141.87,129.84,35000000.0,200000000.0,0.001110789598897,0.0067723034881055,0.0008044416899792,0.0078830930870025,142.5567103693077,58.77252793882973,56.4915637317293
V4F_fixed_Qint,S2,5,2,600,2.3,22.7149,-13.6036,0.8585,12.078,429,20.5903,-10.3498,0.8573,12.4427,1711,0.0,0.0,152.06,110.53,32.63,35000000.0,200000000.0,0.001134282327257,0.005894863512367,0.0002357840421609,0.007029145839623999,116.28141044996923,53.76394125045145,48.44091940758168
V5_wrong_constraints,S2,5,2,600,2.8,297.5625,199.5897,-23.2815,135.5116,429,353.6354,267.6477,-41.0877,194.0149,1711,60.0,60.0,226.9,226.9,93.43,14000000.0,320000000.0,0.0014710311079397,0.0091530922800302,2.299275729455985e-05,0.0106241233879699,226.89610424522772,69.40924082564686,1422.2184773933614
V1_blackbox,S2,10,2,600,2.0,15.2259,8.2737,0.9387,7.2709,429,12.4798,0.0277,0.9497,6.1385,1711,,,,,,,,,,,,,,
V2_soft_physics,S2,10,2,600,2.8,12.5177,0.1926,0.9586,5.299,429,12.2035,0.1086,0.9519,5.923,1711,,,,,,,,,,,,,,
V3_hard_arch,S2,10,2,600,2.3,32.7948,-20.6403,0.7157,17.6416,429,31.0698,-12.6805,0.6882,18.5398,1711,60.0,60.0,46.6,46.6,48.33,56000000.0,320000000.0,0.0006596880848519,0.004104723688215,0.0001808550441637,0.0047644117730669,46.597285325135395,31.785912830369355,93.52515248797778
V4_neural_forcing,S2,10,2,600,4.4,13.5375,4.9974,0.9516,6.254,429,12.8607,-0.6575,0.9466,6.2091,1711,0.0,0.0,146.74,141.57,128.26,35000000.0,200000000.0,0.0011103076394647,0.0067640105262398,0.00079889933113,0.0078743181657045,142.28671279090773,58.7265851898781,56.189724241608275
V4F_fixed_Qint,S2,10,2,600,2.3,24.6103,-13.3237,0.8399,13.226,429,22.6548,-10.1898,0.8342,13.7131,1711,0.0,0.0,150.31,108.9,33.34,35000000.0,200000000.0,0.0011263826163485,0.0058490680530667,0.0002332993899472,0.0069754506694152,114.62925136662155,53.40802832639815,50.02182392299076
V5_wrong_constraints,S2,10,2,600,2.8,297.1953,199.4411,-22.3493,135.5305,429,352.2315,266.6113,-39.0772,193.7514,1711,60.0,60.0,226.9,226.9,93.43,14000000.0,320000000.0,0.0014710357645526,0.0091531202197074,2.299276093253866e-05,0.01062415598426,226.89710720800002,69.40933468206819,1422.2182365437054
V1_blackbox,S3,0,2,600,2.0,8.7756,5.9275,0.9789,4.543,429,5.5274,-0.0048,0.9897,2.7029,1711,,,,,,,,,,,,,,
V2_soft_physics,S3,0,2,600,2.8,5.3079,1.6809,0.9923,2.4913,429,5.2716,0.0977,0.9906,2.5279,1711,,,,,,,,,,,,,,
V3_hard_arch,S3,0,2,600,2.1,31.1183,-20.5256,0.7344,16.7537,429,28.9475,-12.7337,0.7172,17.1115,1711,60.0,60.0,46.1,46.1,48.19,56000000.0,320000000.0,0.0006574392318725,0.0040907324291765,0.0001813270791899,0.004748171661048999,46.09758957073844,31.552601043029956,93.02136314314774
V4_neural_forcing,S3,0,2,600,4.4,7.5096,4.9316,0.9845,3.8103,429,5.9727,-0.6671,0.988,2.8892,1711,0.0,0.0,145.28,139.68,128.59,35000000.0,200000000.0,0.0011037418153136,0.0067109777592122,0.0008000620291568,0.0078147195745258,140.45290998540924,58.41181543360483,56.253391956512246
V4F_fixed_Qint,S3,0,2,600,2.3,22.0334,-13.1924,0.8669,11.626,429,19.6114,-10.2463,0.8702,11.9567,1711,0.0,0.0,149.54,107.96,33.12,35000000.0,200000000.0,0.0011229191441088,0.005822904407978,0.0002340806095162,0.0069458235520868,113.71764775651694,53.2092922368641,49.521141765387256
V5_wrong_constraints,S3,0,2,600,2.8,298.0367,200.0835,-23.3621,135.602,429,352.2457,266.71,-40.8704,193.828,1711,60.0,60.0,226.9,226.9,93.43,14000000.0,320000000.0,0.0014710307586938,0.0091530894860625,2.2992759113549255e-05,0.010624120244756301,226.89600753096312,69.40923177517604,1422.218356968524
V1_blackbox,S3,5,2,600,2.0,11.0106,7.5397,0.9668,5.6432,429,7.9963,0.0093,0.9785,4.0127,1711,,,,,,,,,,,,,,
V2_soft_physics,S3,5,2,600,2.7,7.3949,1.8932,0.985,3.3446,429,7.758,0.0801,0.9797,3.8072,1711,,,,,,,,,,,,,,
V3_hard_arch,S3,5,2,600,2.0,31.7626,-20.9344,0.7233,17.238,429,29.6209,-12.8378,0.7047,17.583,1711,60.0,60.0,47.53,47.53,47.93,56000000.0,320000000.0,0.0006638901541009,0.0041308677755296,0.0001822411140892,0.0047947579296304995,47.531013219399995,32.217641689150796,92.05325963310807
V4_neural_forcing,S3,5,2,600,4.2,9.1904,5.1123,0.9768,4.505,429,8.2803,-0.6312,0.9769,4.0606,1711,0.0,0.0,146.84,141.86,129.82,35000000.0,200000000.0,0.0011107692262157,0.006772088818252,0.0008043693960644,0.0078828580444677,142.54947829131385,58.77129866266087,56.48765334528242
V4F_fixed_Qint,S3,5,2,600,2.2,22.7149,-13.6036,0.8585,12.078,429,20.5903,-10.3498,0.8573,12.4427,1711,0.0,0.0,152.06,110.53,32.63,35000000.0,200000000.0,0.001134282327257,0.005894863512367,0.0002357840421609,0.007029145839623999,116.28141044996923,53.76394125045145,48.44091940758168
V5_wrong_constraints,S3,5,2,600,2.8,297.5625,199.5897,-23.2815,135.5116,429,353.6354,267.6477,-41.0877,194.0149,1711,60.0,60.0,226.9,226.9,93.43,14000000.0,320000000.0,0.0014710311079397,0.0091530922800302,2.299275729455985e-05,0.0106241233879699,226.89610424522772,69.40924082564686,1422.2184773933614
V1_blackbox,S3,10,2,600,2.0,15.2259,8.2737,0.9387,7.2709,429,12.4798,0.0277,0.9497,6.1385,1711,,,,,,,,,,,,,,
V2_soft_physics,S3,10,2,600,2.8,12.5177,0.1926,0.9586,5.299,429,12.2035,0.1086,0.9519,5.923,1711,,,,,,,,,,,,,,
V3_hard_arch,S3,10,2,600,2.2,32.7948,-20.6403,0.7157,17.6416,429,31.0698,-12.6805,0.6882,18.5398,1711,60.0,60.0,46.6,46.6,48.33,56000000.0,320000000.0,0.0006596880848519,0.004104723688215,0.0001808550441637,0.0047644117730669,46.597285325135395,31.785912830369355,93.52515248797778
V4_neural_forcing,S3,10,2,600,4.4,13.5252,5.0052,0.9516,6.2514,429,12.8584,-0.6579,0.9466,6.2074,1711,0.0,0.0,146.79,141.64,128.28,35000000.0,200000000.0,0.0011105586308985,0.0067660133354365,0.0007989811711013,0.007876571966335,142.35606050261543,58.73839515603082,56.194211746245934
V4F_fixed_Qint,S3,10,2,600,2.3,24.6103,-13.3237,0.8399,13.226,429,22.6548,-10.1898,0.8342,13.7131,1711,0.0,0.0,150.31,108.9,33.34,35000000.0,200000000.0,0.0011263826163485,0.0058490680530667,0.0002332993899472,0.0069754506694152,114.62925136662155,53.40802832639815,50.02182392299076
V5_wrong_constraints,S3,10,2,600,2.8,297.1953,199.4411,-22.3493,135.5305,429,352.2315,266.6113,-39.0772,193.7514,1711,60.0,60.0,226.9,226.9,93.43,14000000.0,320000000.0,0.0014710357645526,0.0091531202197074,2.299276093253866e-05,0.01062415598426,226.89710720800002,69.40933468206819,1422.2182365437054
V1_blackbox,S1,0,3,600,2.0,8.8445,5.9578,0.9785,4.4735,429,5.4233,0.0019,0.9901,2.6357,1711,,,,,,,,,,,,,,
V2_soft_physics,S1,0,3,600,2.8,5.3389,1.7783,0.9922,2.4848,429,5.2918,0.1101,0.9906,2.5368,1711,,,,,,,,,,,,,,
V3_hard_arch,S1,0,3,600,2.2,31.1183,-20.5256,0.7344,16.7537,429,28.9475,-12.7337,0.7172,17.1115,1711,60.0,60.0,46.1,46.1,48.19,56000000.0,320000000.0,0.0006574392318725,0.0040907324291765,0.0001813270791899,0.004748171661048999,46.09758957073844,31.552601043029956,93.02136314314774
V4_neural_forcing,S1,0,3,600,3.2,7.1817,4.6183,0.9859,3.507,429,6.029,-0.6767,0.9877,2.9287,1711,0.0,0.0,145.76,141.03,129.59,35000000.0,200000000.0,0.0011059279786422,0.0067488509230315,0.0008035596692934,0.0078547789016737,141.68550466688313,58.62391493530789,56.443807053212616
V4F_fixed_Qint,S1,0,3,600,2.3,22.0334,-13.1924,0.8669,11.626,429,19.6114,-10.2463,0.8702,11.9567,1711,0.0,0.0,149.54,107.96,33.12,35000000.0,200000000.0,0.0011229191441088,0.005822904407978,0.0002340806095162,0.0069458235520868,113.71764775651694,53.2092922368641,49.521141765387256
V5_wrong_constraints,S1,0,3,600,2.8,298.0397,200.0846,-23.3626,135.6032,429,352.2491,266.7099,-40.8712,193.8296,1711,60.0,60.0,226.91,226.91,93.43,14000000.0,320000000.0,0.0014710810501128,0.0091534005478024,2.2992548110778444e-05,0.0106244815979152,226.90712608969847,69.41027220906726,1422.2323263767667
V1_blackbox,S1,5,3,600,2.0,12.0175,7.6361,0.9608,5.8963,429,7.4661,0.0112,0.9814,3.7809,1711,,,,,,,,,,,,,,
V2_soft_physics,S1,5,3,600,2.8,8.0828,2.344,0.9823,3.6255,429,7.2886,0.1053,0.9822,3.6792,1711,,,,,,,,,,,,,,
V3_hard_arch,S1,5,3,600,2.2,31.5833,-20.3045,0.7293,16.9181,429,29.612,-12.7511,0.7066,17.5776,1711,60.0,60.0,47.11,47.11,48.24,56000000.0,320000000.0,0.0006619754130952,0.0041189570911228,0.0001811600814107,0.004780932504218,47.10561551439999,32.02162973159163,93.19929494099227
V4_neural_forcing,S1,5,3,600,3.2,9.2503,4.9011,0.9768,4.4453,429,7.9981,-0.7943,0.9786,3.9531,1711,0.0,0.0,144.74,139.75,127.87,35000000.0,200000000.0,0.0011013228213414,0.0067128869704902,0.0007975613116286,0.0078142097918316,140.43722436404923,58.40910230747437,56.11622643965656
V4F_fixed_Qint,S1,5,3,600,2.3,22.6011,-12.9467,0.8614,11.9229,429,20.3772,-10.2638,0.8611,12.4165,1711,0.0,0.0,151.21,109.78,33.17,35000000.0,200000000.0,0.0011304358486086,0.0058739441446959,0.000233891303651,0.0070043799933045,115.51938440936924,53.60046138121174,49.64216049787431
V5_wrong_constraints,S1,5,3,600,2.8,299.5926,201.071,-23.3588,135.7546,429,352.4271,266.7842,-40.5547,193.908,1711,60.0,60.0,226.91,226.91,93.43,14000000.0,320000000.0,0.0014710862888023,0.0091534350067377,2.2992548110778444e-05,0.01062452129554,226.90834755507697,69.41038650499672,1422.2323263767667
V1_blackbox,S1,10,3,600,2.0,15.2271,6.904,0.9376,6.997,429,11.7196,0.0115,0.9559,5.888,1711,,,,,,,,,,,,,,
V2_soft_physics,S1,10,3,600,2.8,12.7622,0.5072,0.9562,5.3609,429,11.6094,0.1565,0.9567,5.7284,1711,,,,,,,,,,,,,,
V3_hard_arch,S1,10,3,600,2.2,32.5488,-20.2885,0.7148,17.5905,429,30.9125,-12.6833,0.6933,18.3117,1711,60.0,60.0,44.67,44.67,47.91,56000000.0,320000000.0,0.0006510160164907,0.0040507656522095,0.0001823153870645,0.004701781668700201,44.670205190775405,30.877266768142874,91.97501957208695
V4_neural_forcing,S1,10,3,600,3.2,13.8785,3.9534,0.9482,5.9738,429,11.9264,-0.5965,0.9544,5.8939,1711,0.0,0.0,144.23,138.89,130.72,35000000.0,200000000.0,0.0010990529553964,0.0066888076253235,0.0008075063233263,0.0077878605807199,139.62647940676618,58.268384926588226,56.656686159648714
V4F_fixed_Qint,S1,10,3,600,2.3,24.7169,-12.9177,0.8356,13.2087,429,22.236,-10.1899,0.8413,13.522,1711,0.0,0.0,147.2,105.38,32.68,35000000.0,200000000.0,0.0011124153388664,0.0057505695149302,0.000235610816162,0.0068629848537966,111.1687647322031,52.64451154657435,48.550056275578164
V5_wrong_constraints,S1,10,3,600,2.8,300.1259,201.3058,-23.2452,135.8562,429,353.2964,267.4627,-39.0582,193.9804,1711,60.0,60.0,226.9,226.9,93.43,14000000.0,320000000.0,0.0014710697578266,0.0091533306986093,2.2992548110778444e-05,0.0106244004564359,226.90462942879694,69.41003858687141,1422.2323263767667
V1_blackbox,S2,0,3,600,2.0,8.8445,5.9578,0.9785,4.4735,429,5.4233,0.0019,0.9901,2.6357,1711,,,,,,,,,,,,,,
V2_soft_physics,S2,0,3,600,3.9,5.3389,1.7783,0.9922,2.4848,429,5.2918,0.1101,0.9906,2.5368,1711,,,,,,,,,,,,,,
V3_hard_arch,S2,0,3,600,2.2,31.1183,-20.5256,0.7344,16.7537,429,28.9475,-12.7337,0.7172,17.1115,1711,60.0,60.0,46.1,46.1,48.19,56000000.0,320000000.0,0.0006574392318725,0.0040907324291765,0.0001813270791899,0.004748171661048999,46.09758957073844,31.552601043029956,93.02136314314774
V4_neural_forcing,S2,0,3,600,4.4,7.1853,4.6191,0.9858,3.5115,429,6.0276,-0.6728,0.9877,2.9262,1711,0.0,0.0,145.85,141.15,129.66,35000000.0,200000000.0,0.0011063198326155,0.0067520686425268,0.0008038174128159,0.0078583884751423,141.79656846591692,58.642920106578856,56.45777331771223
V4F_fixed_Qint,S2,0,3,600,2.3,22.0334,-13.1924,0.8669,11.626,429,19.6114,-10.2463,0.8702,11.9567,1711,0.0,0.0,149.54,107.96,33.12,35000000.0,200000000.0,0.0011229191441088,0.005822904407978,0.0002340806095162,0.0069458235520868,113.71764775651694,53.2092922368641,49.521141765387256
V5_wrong_constraints,S2,0,3,600,2.8,298.0397,200.0846,-23.3626,135.6032,429,352.2491,266.7099,-40.8712,193.8296,1711,60.0,60.0,226.91,226.91,93.43,14000000.0,320000000.0,0.0014710810501128,0.0091534005478024,2.2992548110778444e-05,0.0106244815979152,226.90712608969847,69.41027220906726,1422.2323263767667
V1_blackbox,S2,5,3,600,2.0,12.0175,7.6361,0.9608,5.8963,429,7.4661,0.0112,0.9814,3.7809,1711,,,,,,,,,,,,,,
V2_soft_physics,S2,5,3,600,2.8,8.0828,2.344,0.9823,3.6255,429,7.2886,0.1053,0.9822,3.6792,1711,,,,,,,,,,,,,,
V3_hard_arch,S2,5,3,600,2.2,31.5833,-20.3045,0.7293,16.9181,429,29.612,-12.7511,0.7066,17.5776,1711,60.0,60.0,47.11,47.11,48.24,56000000.0,320000000.0,0.0006619754130952,0.0041189570911228,0.0001811600814107,0.004780932504218,47.10561551439999,32.02162973159163,93.19929494099227
V4_neural_forcing,S2,5,3,600,4.4,9.2569,4.9106,0.9767,4.4473,429,8.0003,-0.7839,0.9786,3.9544,1711,0.0,0.0,144.85,139.89,127.96,35000000.0,200000000.0,0.0011018376098945,0.0067169098183512,0.0007978739449754,0.0078187474282457,140.57684394602157,58.43323972508463,56.13342155059454
V4F_fixed_Qint,S2,5,3,600,2.3,22.6011,-12.9467,0.8614,11.9229,429,20.3772,-10.2638,0.8611,12.4165,1711,0.0,0.0,151.21,109.78,33.17,35000000.0,200000000.0,0.0011304358486086,0.0058739441446959,0.000233891303651,0.0070043799933045,115.51938440936924,53.60046138121174,49.64216049787431
V5_wrong_constraints,S2,5,3,600,2.8,299.5926,201.071,-23.3588,135.7546,429,352.4271,266.7842,-40.5547,193.908,1711,60.0,60.0,226.91,226.91,93.43,14000000.0,320000000.0,0.0014710862888023,0.0091534350067377,2.2992548110778444e-05,0.01062452129554,226.90834755507697,69.41038650499672,1422.2323263767667
V1_blackbox,S2,10,3,600,2.0,15.2271,6.904,0.9376,6.997,429,11.7196,0.0115,0.9559,5.888,1711,,,,,,,,,,,,,,
V2_soft_physics,S2,10,3,600,2.8,12.7622,0.5072,0.9562,5.3609,429,11.6094,0.1565,0.9567,5.7284,1711,,,,,,,,,,,,,,
V3_hard_arch,S2,10,3,600,2.2,32.5488,-20.2885,0.7148,17.5905,429,30.9125,-12.6833,0.6933,18.3117,1711,60.0,60.0,44.67,44.67,47.91,56000000.0,320000000.0,0.0006510160164907,0.0040507656522095,0.0001823153870645,0.004701781668700201,44.670205190775405,30.877266768142874,91.97501957208695
V4_neural_forcing,S2,10,3,600,4.4,13.8919,3.9451,0.9481,5.9742,429,11.9262,-0.5855,0.9544,5.8955,1711,0.0,0.0,144.29,138.96,130.79,35000000.0,200000000.0,0.0010993183823302,0.0066909454762935,0.0008077609818428,0.0077902638586236994,139.70042641919076,58.281259030754114,56.67035077610196
V4F_fixed_Qint,S2,10,3,600,2.3,24.7169,-12.9177,0.8356,13.2087,429,22.236,-10.1899,0.8413,13.522,1711,0.0,0.0,147.2,105.38,32.68,35000000.0,200000000.0,0.0011124153388664,0.0057505695149302,0.000235610816162,0.0068629848537966,111.1687647322031,52.64451154657435,48.550056275578164
V5_wrong_constraints,S2,10,3,600,2.8,300.1259,201.3058,-23.2452,135.8562,429,353.2964,267.4627,-39.0582,193.9804,1711,60.0,60.0,226.9,226.9,93.43,14000000.0,320000000.0,0.0014710697578266,0.0091533306986093,2.2992548110778444e-05,0.0106244004564359,226.90462942879694,69.41003858687141,1422.2323263767667
V1_blackbox,S3,0,3,600,2.0,8.8445,5.9578,0.9785,4.4735,429,5.4233,0.0019,0.9901,2.6357,1711,,,,,,,,,,,,,,
V2_soft_physics,S3,0,3,600,2.8,5.3389,1.7783,0.9922,2.4848,429,5.2918,0.1101,0.9906,2.5368,1711,,,,,,,,,,,,,,
V3_hard_arch,S3,0,3,600,2.1,31.1183,-20.5256,0.7344,16.7537,429,28.9475,-12.7337,0.7172,17.1115,1711,60.0,60.0,46.1,46.1,48.19,56000000.0,320000000.0,0.0006574392318725,0.0040907324291765,0.0001813270791899,0.004748171661048999,46.09758957073844,31.552601043029956,93.02136314314774
V4_neural_forcing,S3,0,3,600,4.4,7.1763,4.6105,0.9859,3.506,429,6.0268,-0.6763,0.9877,2.9252,1711,0.0,0.0,145.85,141.15,129.66,35000000.0,200000000.0,0.0011063443962484,0.0067522260360419,0.0008037947700358,0.0078585704322903,141.80216714739387,58.643877687397385,56.456546739609735
V4F_fixed_Qint,S3,0,3,600,2.3,22.0334,-13.1924,0.8669,11.626,429,19.6114,-10.2463,0.8702,11.9567,1711,0.0,0.0,149.54,107.96,33.12,35000000.0,200000000.0,0.0011229191441088,0.005822904407978,0.0002340806095162,0.0069458235520868,113.71764775651694,53.2092922368641,49.521141765387256
